ticker,issuer_cik,year,quarter,n_investors,completed_at
AAPL,320193,2013,3,1742,2026-05-18T04:23:36.519055+00:00
AAPL,320193,2013,4,1917,2026-05-18T04:23:37.324480+00:00
AAPL,320193,2014,1,1917,2026-05-18T04:23:38.129677+00:00
AAPL,320193,2014,2,1988,2026-05-18T04:23:38.896345+00:00
AAPL,320193,2014,3,1984,2026-05-18T04:23:39.790369+00:00
AAPL,320193,2014,4,2168,2026-05-18T04:23:40.659559+00:00
AAPL,320193,2015,1,2196,2026-05-18T04:23:41.508321+00:00
AAPL,320193,2015,2,2189,2026-05-18T04:23:42.557774+00:00
AAPL,320193,2015,3,2178,2026-05-18T04:23:43.662016+00:00
AAPL,320193,2015,4,2260,2026-05-18T04:23:44.422751+00:00
AAPL,320193,2016,1,2269,2026-05-18T04:23:45.247430+00:00
AAPL,320193,2016,2,2210,2026-05-18T04:23:46.046340+00:00
AAPL,320193,2016,3,2257,2026-05-18T04:23:46.819168+00:00
AAPL,320193,2016,4,2450,2026-05-18T04:23:47.640145+00:00
AAPL,320193,2017,1,2502,2026-05-18T04:23:48.465871+00:00
AAPL,320193,2017,2,2509,2026-05-18T04:23:49.312500+00:00
AAPL,320193,2017,3,2509,2026-05-18T04:23:50.153520+00:00
AAPL,320193,2017,4,2787,2026-05-18T04:23:50.961243+00:00
AAPL,320193,2018,1,2765,2026-05-18T04:23:51.787073+00:00
AAPL,320193,2018,2,2768,2026-05-18T04:23:52.596171+00:00
AAPL,320193,2018,3,2814,2026-05-18T04:23:53.462278+00:00
AAPL,320193,2018,4,3027,2026-05-18T04:23:54.341098+00:00
AAPL,320193,2019,1,3009,2026-05-18T04:23:55.258662+00:00
AAPL,320193,2019,2,2995,2026-05-18T04:23:56.384692+00:00
AAPL,320193,2019,3,3015,2026-05-18T04:23:57.204138+00:00
AAPL,320193,2019,4,3351,2026-05-18T04:23:58.059603+00:00
AAPL,320193,2020,1,3335,2026-05-18T04:23:58.936489+00:00
AAPL,320193,2020,2,3397,2026-05-18T04:23:59.756207+00:00
AAPL,320193,2020,3,3433,2026-05-18T04:24:00.636205+00:00
AAPL,320193,2020,4,3835,2026-05-18T04:24:01.538592+00:00
AAPL,320193,2021,1,3827,2026-05-18T04:24:02.429954+00:00
AAPL,320193,2021,2,3849,2026-05-18T04:24:03.279382+00:00
AAPL,320193,2021,3,3828,2026-05-18T04:24:04.144697+00:00
AAPL,320193,2021,4,4366,2026-05-18T04:24:05.022233+00:00
AAPL,320193,2022,1,4361,2026-05-18T04:24:05.894280+00:00
AAPL,320193,2022,2,4305,2026-05-18T04:24:06.783254+00:00
AAPL,320193,2022,3,4311,2026-05-18T04:24:07.621666+00:00
AAPL,320193,2022,4,4517,2026-05-18T04:24:08.492117+00:00
AAPL,320193,2023,1,4489,2026-05-18T04:24:09.374635+00:00
AAPL,320193,2023,2,4552,2026-05-18T04:24:10.270106+00:00
AAPL,320193,2023,3,4577,2026-05-18T04:24:11.189789+00:00
AAPL,320193,2023,4,4927,2026-05-18T04:24:12.111216+00:00
AAPL,320193,2024,1,4973,2026-05-18T04:24:13.013885+00:00
AAPL,320193,2024,2,5083,2026-05-18T04:24:13.902086+00:00
AAPL,320193,2024,3,5048,2026-05-18T04:24:14.839406+00:00
AAPL,320193,2024,4,5609,2026-05-18T04:24:15.759806+00:00
AAPL,320193,2025,1,5545,2026-05-18T04:24:16.659512+00:00
AAPL,320193,2025,2,5531,2026-05-18T04:24:17.591732+00:00
AAPL,320193,2025,3,5524,2026-05-18T04:24:18.505156+00:00
AAPL,320193,2025,4,5721,2026-05-18T04:24:19.393222+00:00
MSFT,789019,2013,3,1779,2026-05-18T04:24:20.724704+00:00
MSFT,789019,2013,4,1941,2026-05-18T04:24:21.522846+00:00
MSFT,789019,2014,1,1970,2026-05-18T04:24:22.377465+00:00
MSFT,789019,2014,2,1972,2026-05-18T04:24:23.580837+00:00
MSFT,789019,2014,3,1979,2026-05-18T04:24:24.714919+00:00
MSFT,789019,2014,4,2131,2026-05-18T04:24:26.110383+00:00
MSFT,789019,2015,1,2083,2026-05-18T04:24:27.170773+00:00
MSFT,789019,2015,2,2082,2026-05-18T04:24:28.217549+00:00
MSFT,789019,2015,3,2077,2026-05-18T04:24:29.379733+00:00
MSFT,789019,2015,4,2256,2026-05-18T04:24:30.441494+00:00
MSFT,789019,2016,1,2281,2026-05-18T04:24:31.246429+00:00
MSFT,789019,2016,2,2250,2026-05-18T04:24:32.038519+00:00
MSFT,789019,2016,3,2257,2026-05-18T04:24:32.832981+00:00
MSFT,789019,2016,4,2414,2026-05-18T04:24:33.760570+00:00
MSFT,789019,2017,1,2415,2026-05-18T04:24:34.556910+00:00
MSFT,789019,2017,2,2459,2026-05-18T04:24:35.395609+00:00
MSFT,789019,2017,3,2468,2026-05-18T04:24:36.224533+00:00
MSFT,789019,2017,4,2733,2026-05-18T04:24:37.069135+00:00
MSFT,789019,2018,1,2771,2026-05-18T04:24:37.886418+00:00
MSFT,789019,2018,2,2801,2026-05-18T04:24:38.738730+00:00
MSFT,789019,2018,3,2832,2026-05-18T04:24:39.550742+00:00
MSFT,789019,2018,4,3080,2026-05-18T04:24:40.803215+00:00
MSFT,789019,2019,1,3103,2026-05-18T04:24:41.618535+00:00
MSFT,789019,2019,2,3111,2026-05-18T04:24:42.404735+00:00
MSFT,789019,2019,3,3116,2026-05-18T04:24:43.228774+00:00
MSFT,789019,2019,4,3424,2026-05-18T04:24:44.065554+00:00
MSFT,789019,2020,1,3512,2026-05-18T04:24:44.987296+00:00
MSFT,789019,2020,2,3545,2026-05-18T04:24:45.800835+00:00
MSFT,789019,2020,3,3577,2026-05-18T04:24:46.629891+00:00
MSFT,789019,2020,4,3960,2026-05-18T04:24:47.489117+00:00
MSFT,789019,2021,1,3977,2026-05-18T04:24:48.291089+00:00
MSFT,789019,2021,2,3960,2026-05-18T04:24:49.102885+00:00
MSFT,789019,2021,3,4007,2026-05-18T04:24:49.892916+00:00
MSFT,789019,2021,4,4520,2026-05-18T04:24:50.759255+00:00
MSFT,789019,2022,1,4517,2026-05-18T04:24:51.608565+00:00
MSFT,789019,2022,2,4481,2026-05-18T04:24:52.467138+00:00
MSFT,789019,2022,3,4473,2026-05-18T04:24:53.327300+00:00
MSFT,789019,2022,4,4644,2026-05-18T04:24:54.171085+00:00
MSFT,789019,2023,1,4683,2026-05-18T04:24:55.011558+00:00
MSFT,789019,2023,2,4771,2026-05-18T04:24:55.888692+00:00
MSFT,789019,2023,3,4822,2026-05-18T04:24:57.000009+00:00
MSFT,789019,2023,4,5166,2026-05-18T04:24:57.910344+00:00
MSFT,789019,2024,1,5190,2026-05-18T04:24:58.819123+00:00
MSFT,789019,2024,2,5218,2026-05-18T04:24:59.703096+00:00
MSFT,789019,2024,3,5243,2026-05-18T04:25:00.600046+00:00
MSFT,789019,2024,4,5810,2026-05-18T04:25:01.574827+00:00
MSFT,789019,2025,1,5716,2026-05-18T04:25:02.473809+00:00
MSFT,789019,2025,2,5761,2026-05-18T04:25:03.393458+00:00
MSFT,789019,2025,3,5774,2026-05-18T04:25:04.376977+00:00
MSFT,789019,2025,4,5928,2026-05-18T04:25:05.758444+00:00
AAL,6201,2013,3,0,2026-05-18T04:25:06.965773+00:00
AAL,6201,2013,4,386,2026-05-18T04:25:07.908636+00:00
AAL,6201,2014,1,488,2026-05-18T04:25:08.894601+00:00
AAL,6201,2014,2,566,2026-05-18T04:25:10.092436+00:00
AAL,6201,2014,3,560,2026-05-18T04:25:11.065473+00:00
AAL,6201,2014,4,633,2026-05-18T04:25:12.167689+00:00
AAL,6201,2015,1,645,2026-05-18T04:25:13.289813+00:00
AAL,6201,2015,2,636,2026-05-18T04:25:14.285969+00:00
AAL,6201,2015,3,632,2026-05-18T04:25:15.544552+00:00
AAL,6201,2015,4,655,2026-05-18T04:25:16.675278+00:00
AAL,6201,2016,1,628,2026-05-18T04:25:17.434632+00:00
AAL,6201,2016,2,547,2026-05-18T04:25:18.144143+00:00
AAL,6201,2016,3,526,2026-05-18T04:25:18.849682+00:00
AAL,6201,2016,4,574,2026-05-18T04:25:19.564698+00:00
AAL,6201,2017,1,569,2026-05-18T04:25:20.274254+00:00
AAL,6201,2017,2,574,2026-05-18T04:25:20.928953+00:00
AAL,6201,2017,3,556,2026-05-18T04:25:21.624613+00:00
AAL,6201,2017,4,592,2026-05-18T04:25:22.404266+00:00
AAL,6201,2018,1,584,2026-05-18T04:25:23.333101+00:00
AAL,6201,2018,2,582,2026-05-18T04:25:24.074277+00:00
AAL,6201,2018,3,562,2026-05-18T04:25:24.784755+00:00
AAL,6201,2018,4,589,2026-05-18T04:25:31.924799+00:00
AAL,6201,2019,1,580,2026-05-18T04:25:33.407320+00:00
AAL,6201,2019,2,538,2026-05-18T04:25:34.103395+00:00
AAL,6201,2019,3,525,2026-05-18T04:25:34.822624+00:00
AAL,6201,2019,4,515,2026-05-18T04:25:35.587772+00:00
AAL,6201,2020,1,527,2026-05-18T04:25:36.291497+00:00
AAL,6201,2020,2,550,2026-05-18T04:25:37.002946+00:00
AAL,6201,2020,3,541,2026-05-18T04:25:37.708608+00:00
AAL,6201,2020,4,597,2026-05-18T04:25:38.411748+00:00
AAL,6201,2021,1,627,2026-05-18T04:25:39.154321+00:00
AAL,6201,2021,2,600,2026-05-18T04:25:39.887899+00:00
AAL,6201,2021,3,601,2026-05-18T04:25:40.589299+00:00
AAL,6201,2021,4,622,2026-05-18T04:25:48.452488+00:00
AAL,6201,2022,1,595,2026-05-18T04:25:49.192864+00:00
AAL,6201,2022,2,595,2026-05-18T04:25:49.848882+00:00
AAL,6201,2022,3,575,2026-05-18T04:25:50.549076+00:00
AAL,6201,2022,4,594,2026-05-18T04:25:54.268124+00:00
AAL,6201,2023,1,589,2026-05-18T04:25:54.983695+00:00
AAL,6201,2023,2,592,2026-05-18T04:25:55.690600+00:00
