year,quarter,firm_f,firm_g,kappa,contrib_Vanguard,contrib_BlackRock,contrib_State Street,contrib_Passive,contrib_Active,contrib_Hedge Fund,contrib_Other,time
2013,3,AAPL,MSFT,0.953428,0.222595,0.287838,0.174561,0.037479,0.209744,0.000974,0.020237,2013.625
2013,3,AAPL,DAL,1.07848,0.340662,0.244791,0.156321,0.028994,0.27369,0.000338,0.033685,2013.625
2013,3,AAPL,JPM,1.06546,0.245391,0.337568,0.195884,0.043095,0.217089,0.001518,0.024915,2013.625
2013,3,AAPL,BAC,0.938364,0.235272,0.272356,0.193813,0.038805,0.17014,0.00497,0.023009,2013.625
2013,3,AAPL,PFE,0.955088,0.23489,0.331274,0.180141,0.040418,0.146737,0.000606,0.021022,2013.625
2013,3,AAPL,MRK,1.065105,0.240803,0.339698,0.191714,0.040486,0.232572,0.000543,0.019289,2013.625
2013,3,AAPL,NVDA,1.371775,0.318491,0.264472,0.202965,0.037539,0.530713,0.001929,0.015667,2013.625
2013,3,AAPL,XOM,0.875846,0.260853,0.286602,0.185275,0.04166,0.085912,0.000281,0.015262,2013.625
2013,3,AAPL,CVX,1.063996,0.267775,0.329064,0.239976,0.044442,0.16135,0.00032,0.021068,2013.625
2013,3,AAPL,KO,0.876408,0.246044,0.260681,0.16314,0.036615,0.152806,0.000816,0.016306,2013.625
2013,3,AAPL,PEP,0.964011,0.283421,0.276173,0.178311,0.041827,0.163239,0.000566,0.020476,2013.625
2013,3,AAPL,WMT,0.452482,0.140183,0.137325,0.100776,0.015599,0.04968,0.000176,0.008743,2013.625
2013,3,AAPL,TGT,1.267445,0.271481,0.30092,0.426221,0.042274,0.201212,0.000789,0.024548,2013.625
2013,3,AAPL,T,0.857277,0.240952,0.283355,0.190196,0.038392,0.088566,0.001275,0.01454,2013.625
2013,3,AAPL,VZ,0.947394,0.245544,0.308864,0.18461,0.039195,0.153096,0.000934,0.015151,2013.625
2013,3,AAPL,WFC,0.969005,0.234076,0.28277,0.173492,0.038649,0.221693,0.000655,0.01767,2013.625
2013,3,AAPL,INTC,1.065831,0.25327,0.283303,0.234645,0.04438,0.193545,0.002611,0.054078,2013.625
2013,3,AAPL,AMZN,0.947894,0.192988,0.218485,0.144927,0.030976,0.336618,0.001075,0.022824,2013.625
2013,3,AAPL,JNJ,0.983988,0.247139,0.29703,0.246138,0.040563,0.131546,0.00099,0.020582,2013.625
2013,3,AAPL,PG,0.954425,0.266723,0.284003,0.190677,0.041997,0.152491,0.001539,0.016995,2013.625
2013,3,AAPL,MA,1.070985,0.21313,0.303637,0.152139,0.035985,0.332263,0.002802,0.031028,2013.625
2013,3,AAPL,UNH,1.209582,0.239056,0.289017,0.20916,0.04328,0.396703,0.001597,0.030769,2013.625
2013,3,AAPL,GS,0.949836,0.218984,0.287366,0.235194,0.036167,0.136304,0.001156,0.034665,2013.625
2013,3,AAPL,MS,0.931113,0.163063,0.19472,0.31115,0.02585,0.219534,0.000368,0.016428,2013.625
2013,3,AAPL,LMT,1.542721,0.228879,0.269702,0.792336,0.029159,0.205671,0.000459,0.016515,2013.625
2013,3,AAPL,NOC,1.452351,0.2619,0.529203,0.48771,0.036326,0.108452,0.000677,0.028084,2013.625
2013,3,AAPL,A,0.620481,0.134201,0.228322,0.096322,0.023314,0.125014,0.000804,0.012503,2013.625
2013,3,AAPL,ABBV,1.119478,0.256687,0.347207,0.196175,0.042251,0.250701,0.00016,0.026296,2013.625
2013,3,AAPL,ABT,0.985021,0.311241,0.324774,0.192657,0.043843,0.09025,0.0005,0.021756,2013.625
2013,3,AAPL,ACN,0.932,0.248284,0.270273,0.174423,0.039444,0.179075,0.000227,0.020274,2013.625
2013,3,AAPL,ADBE,1.021117,0.231183,0.262425,0.167714,0.036181,0.298322,0.001167,0.024125,2013.625
2013,3,AAPL,ADI,1.04761,0.250064,0.273035,0.194295,0.041662,0.267596,0.001675,0.019283,2013.625
2013,3,AAPL,ADM,1.388894,0.272069,0.265381,0.348384,0.046723,0.330137,0.001817,0.124382,2013.625
2013,3,AAPL,ADP,1.006293,0.289751,0.281035,0.204207,0.04332,0.167898,0.000433,0.01965,2013.625
2013,3,AAPL,ADSK,1.190249,0.336955,0.367711,0.17829,0.040086,0.233004,0.002814,0.031388,2013.625
2013,3,AAPL,AEE,1.030948,0.358107,0.277613,0.225636,0.041342,0.103478,0.00141,0.023362,2013.625
2013,3,AAPL,AEP,1.071646,0.251722,0.395715,0.215458,0.040213,0.145462,0.000672,0.022404,2013.625
2013,3,AAPL,AES,1.264381,0.301022,0.424171,0.181493,0.033738,0.304961,0.001512,0.017484,2013.625
2013,3,AAPL,AFL,1.035668,0.289857,0.286684,0.21673,0.072572,0.150805,0.00079,0.01823,2013.625
2013,3,AAPL,AIG,0.9174,0.233934,0.308912,0.188018,0.036164,0.128373,0.00027,0.021729,2013.625
2013,3,AAPL,AIZ,1.286076,0.342752,0.300632,0.22612,0.049098,0.343768,0.001504,0.022202,2013.625
2013,3,AAPL,AKAM,1.291361,0.32192,0.277047,0.186087,0.040489,0.445208,0.001303,0.019307,2013.625
2013,3,AAPL,ALL,0.990809,0.243344,0.326294,0.196282,0.039038,0.154361,0.00177,0.029719,2013.625
2013,3,AAPL,AMAT,1.11321,0.257581,0.328999,0.175411,0.038338,0.275825,0.00073,0.036327,2013.625
2013,3,AAPL,AME,1.222677,0.333614,0.306716,0.176641,0.039946,0.340598,0.000561,0.0246,2013.625
2013,3,MSFT,AAPL,0.788597,0.184112,0.238076,0.144382,0.030999,0.173483,0.000806,0.016739,2013.625
2013,3,MSFT,DAL,1.055219,0.253114,0.215452,0.121373,0.02163,0.425399,0.000241,0.01801,2013.625
2013,3,MSFT,JPM,0.955187,0.182327,0.297109,0.152091,0.032517,0.264129,0.000207,0.026807,2013.625
2013,3,MSFT,BAC,0.782508,0.174809,0.239713,0.150483,0.029384,0.169011,0.000406,0.018702,2013.625
2013,3,MSFT,PFE,0.870544,0.174524,0.29157,0.139868,0.030479,0.207763,0.000128,0.026212,2013.625
2013,3,MSFT,MRK,1.142005,0.178918,0.298984,0.148854,0.030512,0.461792,0.000114,0.022831,2013.625
2013,3,MSFT,NVDA,1.023719,0.236641,0.232774,0.157589,0.02832,0.351064,0.000722,0.016609,2013.625
2013,3,MSFT,XOM,0.713137,0.193816,0.252252,0.143854,0.031377,0.078479,7.7e-05,0.013283,2013.625
2013,3,MSFT,CVX,0.987934,0.198958,0.289625,0.186326,0.033537,0.25945,9.3e-05,0.019944,2013.625
2013,3,MSFT,KO,0.755473,0.182812,0.229437,0.126667,0.027682,0.1673,0.000139,0.021435,2013.625
2013,3,MSFT,PEP,0.972574,0.210583,0.243072,0.138447,0.031482,0.31981,0.000103,0.029077,2013.625
