year,quarter,kappa_all,time
2013,3,0.7262215193236714,2013.625
2013,4,0.7111686755319149,2013.875
2014,1,0.7187272668439717,2014.125
2014,2,0.7251264485815603,2014.375
2014,3,0.7194263532801419,2014.625
2014,4,0.7196639162234043,2014.875
2015,1,0.7233220066489362,2015.125
2015,2,0.7318290771276595,2015.375
2015,3,0.7300907021276596,2015.625
2015,4,0.7269795195035461,2015.875
2016,1,0.724134454787234,2016.125
2016,2,0.7284828989361702,2016.375
2016,3,0.737550130319149,2016.625
2016,4,0.7716528683510638,2016.875
2017,1,0.7841952353723404,2017.125
2017,2,0.8021471201241135,2017.375
2017,3,0.8006619184397163,2017.625
2017,4,0.8033454592198581,2017.875
2018,1,0.7975634086879433,2018.125
2018,2,0.7872844113475177,2018.375
2018,3,0.7935289942375886,2018.625
2018,4,0.7835778000886524,2018.875
2019,1,0.7965090137411347,2019.125
2019,2,0.8068667632978723,2019.375
2019,3,0.809738649822695,2019.625
2019,4,0.8109305523049645,2019.875
2020,1,0.8015855336879433,2020.125
2020,2,0.8116345447695035,2020.375
2020,3,0.8330204884751773,2020.625
2020,4,0.8305117061170213,2020.875
2021,1,0.8419649015957447,2021.125
2021,2,0.845104170212766,2021.375
2021,3,0.8550432389184397,2021.625
2021,4,0.8554284432624113,2021.875
2022,1,0.8570188648049646,2022.125
2022,2,0.8565476781914894,2022.375
2022,3,0.8598426365248227,2022.625
2022,4,0.8684036808510638,2022.875
2023,1,0.8469882650709221,2023.125
2023,2,0.8758916085992908,2023.375
2023,3,0.8904416267730496,2023.625
2023,4,0.8833554609929078,2023.875
2024,1,0.8642439534574469,2024.125
2024,2,0.8663048054078014,2024.375
2024,3,0.8966188776595744,2024.625
2024,4,0.8995825336879433,2024.875
2025,1,0.8938829518963922,2025.125
2025,2,0.8598327349676226,2025.375
2025,3,0.8781856350601296,2025.625
2025,4,0.920173414893617,2025.875
