year,quarter,firm_f,firm_g,kappa,ihhi_f,retail_f,cosine,same_sic,time
2013,3,AAPL,BAC,0.938364,0.00964876,0.428,0.935385,0,2013.625
2013,3,AAPL,DAL,1.07848,0.00964876,0.428,0.737509,0,2013.625
2013,3,AAPL,JPM,1.06546,0.00964876,0.428,0.930147,0,2013.625
2013,3,AAPL,MRK,1.065105,0.00964876,0.428,0.795826,0,2013.625
2013,3,AAPL,MSFT,0.953428,0.00964876,0.428,0.867105,0,2013.625
2013,3,AAPL,NVDA,1.371775,0.00964876,0.428,0.774429,0,2013.625
2013,3,AAPL,PFE,0.955088,0.00964876,0.428,0.911328,0,2013.625
2013,3,BAC,AAPL,0.932414,0.00971033,0.4295,0.935385,0,2013.625
2013,3,BAC,DAL,1.060699,0.00971033,0.4295,0.727659,0,2013.625
2013,3,BAC,JPM,1.039129,0.00971033,0.4295,0.91005,1,2013.625
2013,3,BAC,MRK,1.068404,0.00971033,0.4295,0.800834,0,2013.625
2013,3,BAC,MSFT,0.940068,0.00971033,0.4295,0.857677,0,2013.625
2013,3,BAC,NVDA,1.238148,0.00971033,0.4295,0.701217,0,2013.625
2013,3,BAC,PFE,0.94797,0.00971033,0.4295,0.907418,0,2013.625
2013,3,DAL,AAPL,0.504338,0.02063298,0.0931,0.737509,0,2013.625
2013,3,DAL,BAC,0.499188,0.02063298,0.0931,0.727659,0,2013.625
2013,3,DAL,JPM,0.597534,0.02063298,0.0931,0.76282,0,2013.625
2013,3,DAL,MRK,0.684894,0.02063298,0.0931,0.748332,0,2013.625
2013,3,DAL,MSFT,0.596602,0.02063298,0.0931,0.793439,0,2013.625
2013,3,DAL,NVDA,0.709489,0.02063298,0.0931,0.585719,0,2013.625
2013,3,DAL,PFE,0.526869,0.02063298,0.0931,0.735155,0,2013.625
2013,3,JPM,AAPL,0.812018,0.01266027,0.268,0.930147,0,2013.625
2013,3,JPM,BAC,0.797005,0.01266027,0.268,0.91005,1,2013.625
2013,3,JPM,DAL,0.973827,0.01266027,0.268,0.76282,0,2013.625
2013,3,JPM,MRK,1.058847,0.01266027,0.268,0.906244,0,2013.625
2013,3,JPM,MSFT,0.880136,0.01266027,0.268,0.916894,0,2013.625
2013,3,JPM,NVDA,1.057068,0.01266027,0.268,0.683576,0,2013.625
2013,3,JPM,PFE,0.887655,0.01266027,0.268,0.9702,0,2013.625
2013,3,MRK,AAPL,0.594626,0.01728302,0.2992,0.795826,0,2013.625
2013,3,MRK,BAC,0.600274,0.01728302,0.2992,0.800834,0,2013.625
2013,3,MRK,DAL,0.817647,0.01728302,0.2992,0.748332,0,2013.625
2013,3,MRK,JPM,0.775634,0.01728302,0.2992,0.906244,0,2013.625
2013,3,MRK,MSFT,0.77082,0.01728302,0.2992,0.938233,0,2013.625
2013,3,MRK,NVDA,0.713359,0.01728302,0.2992,0.53899,0,2013.625
2013,3,MRK,PFE,0.707342,0.01728302,0.2992,0.903305,1,2013.625
2013,3,MSFT,AAPL,0.788597,0.01166553,0.3359,0.867105,0,2013.625
2013,3,MSFT,BAC,0.782508,0.01166553,0.3359,0.857677,0,2013.625
2013,3,MSFT,DAL,1.055219,0.01166553,0.3359,0.793439,0,2013.625
2013,3,MSFT,JPM,0.955187,0.01166553,0.3359,0.916894,0,2013.625
2013,3,MSFT,MRK,1.142005,0.01166553,0.3359,0.938233,0,2013.625
2013,3,MSFT,NVDA,1.023719,0.01166553,0.3359,0.635471,0,2013.625
2013,3,MSFT,PFE,0.870544,0.01166553,0.3359,0.913353,0,2013.625
2013,3,NVDA,AAPL,0.4372,0.03027436,0.255,0.774429,0,2013.625
2013,3,NVDA,BAC,0.397129,0.03027436,0.255,0.701217,0,2013.625
2013,3,NVDA,DAL,0.48354,0.03027436,0.255,0.585719,0,2013.625
2013,3,NVDA,JPM,0.44205,0.03027436,0.255,0.683576,0,2013.625
2013,3,NVDA,MRK,0.407243,0.03027436,0.255,0.53899,0,2013.625
2013,3,NVDA,MSFT,0.394467,0.03027436,0.255,0.635471,0,2013.625
2013,3,NVDA,PFE,0.355625,0.03027436,0.255,0.60107,0,2013.625
2013,3,PFE,AAPL,0.869573,0.01059764,0.3672,0.911328,0,2013.625
2013,3,PFE,BAC,0.8686,0.01059764,0.3672,0.907418,0,2013.625
2013,3,PFE,DAL,1.025783,0.01059764,0.3672,0.735155,0,2013.625
2013,3,PFE,JPM,1.060421,0.01059764,0.3672,0.9702,0,2013.625
2013,3,PFE,MRK,1.153559,0.01059764,0.3672,0.903305,1,2013.625
2013,3,PFE,MSFT,0.958267,0.01059764,0.3672,0.913353,0,2013.625
2013,3,PFE,NVDA,1.015916,0.01059764,0.3672,0.60107,0,2013.625
2013,4,AAL,AAPL,0.383773,0.022269,0.0479,0.583821,0,2013.875
2013,4,AAL,BAC,0.354388,0.022269,0.0479,0.538088,0,2013.875
2013,4,AAL,DAL,0.599212,0.022269,0.0479,0.681264,1,2013.875
2013,4,AAL,JPM,0.470973,0.022269,0.0479,0.617726,0,2013.875
2013,4,AAL,MRK,0.525144,0.022269,0.0479,0.588339,0,2013.875
2013,4,AAL,MSFT,0.4482,0.022269,0.0479,0.616497,0,2013.875
2013,4,AAL,NVDA,0.748057,0.022269,0.0479,0.599421,0,2013.875
2013,4,AAL,PFE,0.359591,0.022269,0.0479,0.525771,0,2013.875
2013,4,AAPL,AAL,0.888148,0.00962255,0.4152,0.583821,0,2013.875
2013,4,AAPL,BAC,0.938055,0.00962255,0.4152,0.936262,0,2013.875
2013,4,AAPL,DAL,1.06162,0.00962255,0.4152,0.793411,0,2013.875
2013,4,AAPL,JPM,1.084913,0.00962255,0.4152,0.935383,0,2013.875
2013,4,AAPL,MRK,1.065712,0.00962255,0.4152,0.784846,0,2013.875
2013,4,AAPL,MSFT,0.980875,0.00962255,0.4152,0.886884,0,2013.875
2013,4,AAPL,NVDA,1.451777,0.00962255,0.4152,0.764701,0,2013.875
2013,4,AAPL,PFE,0.953261,0.00962255,0.4152,0.916207,0,2013.875
2013,4,BAC,AAL,0.817011,0.00965943,0.4173,0.538088,0,2013.875
2013,4,BAC,AAPL,0.934473,0.00965943,0.4173,0.936262,0,2013.875
2013,4,BAC,DAL,1.033428,0.00965943,0.4173,0.77382,0,2013.875
2013,4,BAC,JPM,1.05292,0.00965943,0.4173,0.909537,1,2013.875
2013,4,BAC,MRK,1.053523,0.00965943,0.4173,0.777354,0,2013.875
2013,4,BAC,MSFT,0.953114,0.00965943,0.4173,0.863434,0,2013.875
2013,4,BAC,NVDA,1.33847,0.00965943,0.4173,0.706368,0,2013.875
2013,4,BAC,PFE,0.942783,0.00965943,0.4173,0.907871,0,2013.875
2013,4,DAL,AAL,0.77455,0.01722789,0.1519,0.681264,1,2013.875
2013,4,DAL,AAPL,0.592962,0.01722789,0.1519,0.793411,0,2013.875
2013,4,DAL,BAC,0.579428,0.01722789,0.1519,0.77382,0,2013.875
2013,4,DAL,JPM,0.709081,0.01722789,0.1519,0.818015,0,2013.875
2013,4,DAL,MRK,0.788204,0.01722789,0.1519,0.776702,0,2013.875
2013,4,DAL,MSFT,0.695178,0.01722789,0.1519,0.841047,0,2013.875
2013,4,DAL,NVDA,0.925607,0.01722789,0.1519,0.652363,0,2013.875
2013,4,DAL,PFE,0.605154,0.01722789,0.1519,0.778249,0,2013.875
2013,4,JPM,AAL,0.810207,0.01294497,0.2641,0.617726,0,2013.875
2013,4,JPM,AAPL,0.806462,0.01294497,0.2641,0.935383,0,2013.875
2013,4,JPM,BAC,0.78568,0.01294497,0.2641,0.909537,1,2013.875
2013,4,JPM,DAL,0.943684,0.01294497,0.2641,0.818015,0,2013.875
2013,4,JPM,MRK,1.047908,0.01294497,0.2641,0.895104,0,2013.875
2013,4,JPM,MSFT,0.888782,0.01294497,0.2641,0.932082,0,2013.875
2013,4,JPM,NVDA,1.107789,0.01294497,0.2641,0.67679,0,2013.875
2013,4,JPM,PFE,0.864562,0.01294497,0.2641,0.963792,0,2013.875
2013,4,MRK,AAL,0.65914,0.01774194,0.2953,0.588339,0,2013.875
2013,4,MRK,AAPL,0.578001,0.01774194,0.2953,0.784846,0,2013.875
2013,4,MRK,BAC,0.57358,0.01774194,0.2953,0.777354,0,2013.875
2013,4,MRK,DAL,0.765367,0.01774194,0.2953,0.776702,0,2013.875
2013,4,MRK,JPM,0.764581,0.01774194,0.2953,0.895104,0,2013.875
2013,4,MRK,MSFT,0.760132,0.01774194,0.2953,0.93325,0,2013.875
2013,4,MRK,NVDA,0.70859,0.01774194,0.2953,0.506807,0,2013.875
2013,4,MRK,PFE,0.680066,0.01774194,0.2953,0.887542,1,2013.875
2013,4,MSFT,AAL,0.847988,0.01177019,0.3308,0.616497,0,2013.875
2013,4,MSFT,AAPL,0.8019,0.01177019,0.3308,0.886884,0,2013.875
2013,4,MSFT,BAC,0.782191,0.01177019,0.3308,0.863434,0,2013.875
2013,4,MSFT,DAL,1.017524,0.01177019,0.3308,0.841047,0,2013.875
2013,4,MSFT,JPM,0.977491,0.01177019,0.3308,0.932082,0,2013.875
2013,4,MSFT,MRK,1.145795,0.01177019,0.3308,0.93325,0,2013.875
2013,4,MSFT,NVDA,1.149534,0.01177019,0.3308,0.669669,0,2013.875
2013,4,MSFT,PFE,0.858393,0.01177019,0.3308,0.912462,0,2013.875
2013,4,NVDA,AAL,0.480318,0.03468219,0.204,0.599421,0,2013.875
2013,4,NVDA,AAPL,0.402794,0.03468219,0.204,0.764701,0,2013.875
2013,4,NVDA,BAC,0.372781,0.03468219,0.204,0.706368,0,2013.875
2013,4,NVDA,DAL,0.459782,0.03468219,0.204,0.652363,0,2013.875
2013,4,NVDA,JPM,0.413477,0.03468219,0.204,0.67679,0,2013.875
2013,4,NVDA,MRK,0.362485,0.03468219,0.204,0.506807,0,2013.875
2013,4,NVDA,MSFT,0.39012,0.03468219,0.204,0.669669,0,2013.875
2013,4,NVDA,PFE,0.316669,0.03468219,0.204,0.577824,0,2013.875
2013,4,PFE,AAL,0.768748,0.0104166,0.3731,0.525771,0,2013.875
2013,4,PFE,AAPL,0.880593,0.0104166,0.3731,0.916207,0,2013.875
2013,4,PFE,BAC,0.874253,0.0104166,0.3731,0.907871,0,2013.875
2013,4,PFE,DAL,1.000856,0.0104166,0.3731,0.778249,0,2013.875
