year,quarter,time,kappa_all,kappa_within,kappa_cross,n_pairs
2013,3,2013.625,0.834051,0.92425875,0.827111942307692,56
2013,4,2013.875,0.7974280972222222,0.8417903333333334,0.7933951666666667,72
2014,1,2014.125,0.772784013888889,0.8138795,0.7690480606060606,72
2014,2,2014.375,0.7912599583333333,0.8327833333333334,0.787485106060606,72
2014,3,2014.625,0.7698461111111111,0.8037358333333334,0.7667652272727272,72
2014,4,2014.875,0.694546625,0.7913266666666666,0.6857484393939394,72
2015,1,2015.125,0.7189447222222223,0.8260353333333335,0.7092092121212121,72
2015,2,2015.375,0.6912317638888889,0.786788,0.6825448333333334,72
2015,3,2015.625,0.6841722083333334,0.7642706666666667,0.6768905303030303,72
2015,4,2015.875,0.6875619166666667,0.772827,0.6798105454545454,72
2016,1,2016.125,0.686586875,0.7669551666666666,0.6792806666666665,72
2016,2,2016.375,0.6926440277777778,0.7914481666666667,0.6836618333333334,72
2016,3,2016.625,0.688287625,0.8127576666666667,0.6769721666666668,72
2016,4,2016.875,0.7159605972222223,0.8402693333333334,0.7046598030303031,72
2017,1,2017.125,0.758239375,0.8561821666666667,0.7493354848484849,72
2017,2,2017.375,0.7728246527777778,0.8604115000000001,0.7648622121212121,72
2017,3,2017.625,0.7701247222222222,0.8302018333333333,0.7646631666666667,72
2017,4,2017.875,0.7713575138888888,0.8459235,0.7645787878787879,72
2018,1,2018.125,0.7693398472222222,0.8601768333333334,0.7610819393939393,72
2018,2,2018.375,0.7588077638888888,0.8497383333333333,0.7505413484848484,72
2018,3,2018.625,0.7559263611111111,0.8525365000000001,0.7471436212121213,72
2018,4,2018.875,0.7566803194444445,0.8588198333333333,0.7473949090909091,72
2019,1,2019.125,0.7636650972222223,0.8673943333333334,0.7542351666666667,72
2019,2,2019.375,0.7712029583333333,0.8752026666666666,0.7617484393939393,72
2019,3,2019.625,0.76828,0.8740751666666666,0.7586622575757576,72
2019,4,2019.875,0.7711961666666667,0.8765453333333334,0.7616189696969698,72
2020,1,2020.125,0.7674608611111111,0.8784791666666667,0.757368287878788,72
2020,2,2020.375,0.7229641250000001,0.7117725,0.7239815454545454,72
2020,3,2020.625,0.7308272638888889,0.6979888333333334,0.7338125757575757,72
2020,4,2020.875,0.7290992361111112,0.6785248333333334,0.733696909090909,72
2021,1,2021.125,0.7357702777777777,0.6848546666666667,0.7403989696969697,72
2021,2,2021.375,0.7339153333333334,0.6901235,0.737896409090909,72
2021,3,2021.625,0.7385734305555556,0.6876868333333334,0.7431994848484849,72
2021,4,2021.875,0.7404561805555556,0.6816693333333333,0.7458004393939393,72
2022,1,2022.125,0.734554375,0.6646241666666667,0.7409116666666666,72
2022,2,2022.375,0.7388777638888889,0.664848,0.7456077424242424,72
2022,3,2022.625,0.7340033888888889,0.660434,0.7406915151515152,72
2022,4,2022.875,0.7413305138888888,0.6725008333333333,0.7475877575757575,72
2023,1,2023.125,0.7396525,0.6756773333333334,0.7454684242424241,72
2023,2,2023.375,0.7499015,0.6806001666666667,0.7562016212121212,72
2023,3,2023.625,0.7518471527777778,0.6899323333333333,0.7574757727272727,72
2023,4,2023.875,0.7497365277777778,0.6796669999999999,0.7561064848484849,72
2024,1,2024.125,0.7574445555555556,0.6805669999999999,0.7644334242424243,72
2024,2,2024.375,0.7622475972222222,0.6757451666666666,0.7701114545454547,72
2024,3,2024.625,0.7697183194444445,0.686547,0.7772793484848485,72
2024,4,2024.875,0.7829467222222222,0.7076666666666668,0.7897903636363636,72
2025,1,2025.125,0.7855060972222222,0.7140369999999999,0.7920032878787879,72
2025,2,2025.375,0.7468269722222223,0.7105815,0.750122015151515,72
2025,3,2025.625,0.8437132916666666,0.8550455,0.842683090909091,72
2025,4,2025.875,0.9290245833333333,0.9091868333333334,0.9308280151515151,72
